E0D6;CIRTH LETTER NOLDORIN OO
E0D7;CIRTH LETTER IO
E0D8;CIRTH LETTER EU
E0D9;CIRTH LETTER OU
E0DA;CIRTH LETTER NOLDORIN OE
E0DB;CIRTH LETTER DORIATHRIN O
E0DC;CIRTH LETTER ENGLISH THE
E0DD;CIRTH LETTER NOLDORIN L
E0DE;CIRTH LETTER ENGLISH OF
E0DF;CIRTH LETTER Y
E0E0;CIRTH LETTER ENGLISH IS
E0E1;CIRTH LETTER VARIANT Y
E0E2;CIRTH LETTER YY
E0E3;CIRTH LETTER NOLDORIN OE
E0E4;CIRTH LETTER NOLDORIN OOE
E0E5;CIRTH SEPARATOR SINGLE DOT
E0E6;CIRTH SEPARATOR DOUBLE DOT
E0E7;CIRTH SEPARATOR TRIPLE DOT
E0E8;CIRTH START OR END OF TEXT
E0E9;CIRTH SEPARATOR DOUBLE PIPE
E0EA;CIRTH COMBINING NASAL MARK
E0EB;CIRTH COMBINING LENGTH MARK
E0EC;CIRTH COMBINING NUMERIC DOT
E0ED;(This position shall not be used)
E0EE;(This position shall not be used)
E0EF;(This position shall not be used)
E0F0;(This position shall not be used)
E0F1;(This position shall not be used)
E0F2;(This position shall not be used)
E0F3;(This position shall not be used)
E0F4;(This position shall not be used)
E0F5;(This position shall not be used)
E0F6;(This position shall not be used)
E0F7;(This position shall not be used)
E0F8;(This position shall not be used)
E0F9;(This position shall not be used)
E0FA;(This position shall not be used)
E0FB;(This position shall not be used)
E0FC;(This position shall not be used)
E0FD;(This position shall not be used)
E0FE;(This position shall not be used)
E0FF;(This position shall not be used)

E100;ENGSVANYALI LETTER P
E101;ENGSVANYALI LETTER B
E102;ENGSVANYALI LETTER M
E103;ENGSVANYALI LETTER F
E104;ENGSVANYALI LETTER V
E105;ENGSVANYALI LETTER W
E106;ENGSVANYALI LETTER T
E107;ENGSVANYALI LETTER D
E108;ENGSVANYALI LETTER N
E109;ENGSVANYALI LETTER TH
E10A;ENGSVANYALI LETTER DH
E10B;ENGSVANYALI LETTER CH
E10C;ENGSVANYALI LETTER J
E10D;ENGSVANYALI LETTER Y
E10E;ENGSVANYALI LETTER K
E10F;ENGSVANYALI LETTER G
E110;ENGSVANYALI LETTER KH
E111;ENGSVANYALI LETTER GH
